video_id,indice,etiqueta_real,etiqueta_predicha,probabilidad,correcto,ruta_archivo,tipo_error
dl_441,5,0,1,0.9997997879981995,False,keypoints/dl/front/dl_441.npy,FP
dl_253,16,0,1,0.5924460887908936,False,keypoints/dl/front/dl_253.npy,FP
dl_267,19,1,0,0.12982116639614105,False,keypoints/dl/front/dl_267.npy,FN
dl_313,20,1,0,0.48710644245147705,False,keypoints/dl/front/dl_313.npy,FN
dl_427,32,1,0,0.4424658715724945,False,keypoints/dl/front/dl_427.npy,FN
dl_233,45,1,0,0.23674312233924866,False,keypoints/dl/front/dl_233.npy,FN
dl_354,54,1,0,0.01941276714205742,False,keypoints/dl/front/dl_354.npy,FN
